Time (ms),Channel A Voltage (V),Channel B Voltage (V)
9.00338091,-0.00344859,0.01413007
9.00850091,0.00537126,0.0319834
9.01362091,-0.00344859,0.04092532
9.01874091,-0.00344859,0.0319834
9.02386091,0.00537126,0.02307199
9.02898091,0.00537126,0.0319834
9.03410091,-0.00344859,0.0319834
9.03922091,-0.00344859,0.02307199
9.04434091,-0.00344859,0.02307199
9.04946091,0.00537126,0.0319834
9.05458091,0.00537126,0.0319834
9.05970091,-0.00344859,0.02307199
9.06482091,-0.00344859,0.02307199
9.06994091,-0.00344859,0.0319834
9.07506091,0.00537126,0.02307199
9.08018091,0.00537126,0.04092532
9.08530091,-0.00344859,0.0319834
9.09042091,0.00537126,0.02307199
9.09554091,0.00537126,0.02307199
9.10066091,0.00537126,0.02307199
9.10578091,-0.00344859,0.0319834
9.11090091,-0.00344859,0.02307199
9.11602091,-0.00344859,0.02307199
9.12114091,0.00537126,0.0319834
9.12626091,-0.00344859,0.04092532
9.13138091,0.00537126,0.0319834
9.13650091,0.00537126,0.02307199
9.14162091,0.00537126,0.02307199
9.14674091,0.00537126,0.0319834
9.15186091,0.00537126,0.0319834
9.15698091,-0.00344859,0.02307199
9.16210091,0.00537126,0.0319834
9.16722091,0.00537126,0.02307199
9.17234091,-0.00344859,0.0319834
9.17746091,0.00537126,0.0319834
9.18258091,0.00537126,0.02307199
9.18770091,0.00537126,0.02307199
9.19282091,-0.00344859,0.02307199
9.19794091,0.00537126,0.0319834
9.20306091,-0.00344859,0.02307199
9.20818091,0.00537126,0.02307199
9.21330091,0.00537126,0.02307199
9.21842091,0.00537126,0.0319834
9.22354091,-0.00344859,0.02307199
9.22866091,-0.00344859,0.02307199
9.23378091,-0.00344859,0.02307199
9.23890091,0.00537126,0.0319834
9.24402091,-0.00344859,0.0319834
9.24914091,-0.00344859,0.02307199
9.25426091,0.00537126,0.02307199
9.25938091,-0.00344859,0.0319834
9.26450091,-0.00344859,0.02307199
9.26962091,0.00537126,0.0319834
9.27474091,0.00537126,0.02307199
9.27986091,0.00537126,0.02307199
9.28498091,-0.00344859,0.02307199
9.29010091,0.00537126,0.0319834
9.29522091,-0.00344859,0.0319834
9.30034091,0.00537126,0.02307199
9.30546091,0.00537126,0.0319834
9.31058091,-0.00344859,0.0319834
9.31570091,-0.00344859,0.02307199
9.32082091,0.00537126,0.02307199
9.32594091,0.00537126,0.02307199
9.33106091,-0.00344859,0.0319834
9.33618091,-0.00344859,0.0319834
9.34130091,0.00537126,0.02307199
9.34642091,-0.00344859,0.02307199
9.35154091,-0.00344859,0.0319834
9.35666091,0.00537126,0.02307199
9.36178091,-0.00344859,0.02307199
9.36690091,0.00537126,0.02307199
9.37202091,-0.00344859,0.02307199
9.37714091,-0.00344859,0.02307199
9.38226091,-0.00344859,0.02307199
9.38738091,-0.00344859,0.0319834
9.39250091,0.00537126,0.01413007
9.39762091,-0.00344859,0.02307199
9.40274091,-0.00344859,0.0319834
9.40786091,-0.00344859,0.0319834
9.41298091,0.00537126,0.02307199
9.41810091,0.00537126,0.02307199
9.42322091,-0.00344859,0.0319834
9.42834091,-0.00344859,0.0319834
9.43346091,-0.00344859,0.02307199
9.43858091,0.00537126,0.02307199
9.44370091,0.00537126,0.02307199
9.44882091,-0.00344859,0.0319834
9.45394091,0.00537126,0.02307199
9.45906091,-0.00344859,0.01413007
9.46418091,-0.00344859,0.02307199
9.46930091,0.00537126,0.02307199
9.47442091,-0.00344859,0.02307199
9.47954091,-0.00344859,0.02307199
9.48466091,0.00537126,0.02307199
9.48978091,0.00537126,0.02307199
9.49490091,-0.00344859,0.0319834
9.50002091,-0.00344859,0.02307199
9.50514091,0.00537126,0.02307199
9.51026091,0.00537126,0.02307199
9.51538091,-0.00344859,0.04092532
9.52050091,0.00537126,0.04092532
9.52562091,-0.00344859,0.0319834
9.53074091,0.00537126,0.02307199
9.53586091,0.00537126,0.04092532
9.54098091,-0.00344859,0.04092532
9.54610091,0.00537126,0.02307199
9.5512209,-0.00344859,0.02307199
9.5563409,-0.00344859,0.02307199
9.5614609,-0.00344859,0.0319834
9.5665809,-0.00344859,0.0319834
9.5717009,0.00537126,0.02307199
9.5768209,0.00537126,0.02307199
9.5819409,0.00537126,0.0319834
9.5870609,-0.00344859,0.0319834
9.5921809,-0.00344859,0.02307199
9.5973009,-0.00344859,0.02307199
