Time (ms),Voltage (V)
3.26161907,-0.07913449
3.26417907,-0.07913449
3.26673907,-0.07913449
3.26929907,-0.07913449
3.27185907,-0.07913449
3.27441907,-0.07913449
3.27697907,-0.07913449
3.27953907,-0.07913449
3.28209907,-0.07913449
3.28465907,-0.07913449
3.28721907,-0.07913449
3.28977907,-0.07913449
3.29233907,-0.07913449
3.29489907,-0.07913449
3.29745907,-0.07913449
3.30001907,-0.07913449
3.30257907,-0.07913449
3.30513907,-0.07913449
3.30769907,-0.07913449
3.31025907,-0.07913449
3.31281907,-0.07913449
3.31537907,-0.07913449
3.31793907,-0.07913449
3.32049907,-0.07913449
3.32305907,-0.07913449
3.32561907,-0.07913449
3.32817907,-0.07913449
3.33073907,-0.07913449
3.33329907,-0.07913449
3.33585907,-0.07913449
3.33841907,-0.07913449
3.34097907,-0.07913449
3.34353907,-0.07913449
3.34609907,-0.07913449
3.34865907,-0.07913449
3.35121907,-0.07913449
3.35377907,-0.07913449
3.35633907,-0.07913449
3.35889907,-0.07913449
3.36145907,-0.07913449
3.36401907,-0.07913449
3.36657907,-0.07913449
3.36913907,-0.07913449
3.37169907,-0.08807642
3.37425907,-0.08807642
3.37681907,-0.09698782
3.37937907,-0.09698782
3.38193907,-0.09698782
3.38449907,-0.09698782
3.38705907,-0.09698782
3.38961907,-0.09698782
3.39217907,-0.09698782
3.39473907,-0.09698782
3.39729907,-0.09698782
3.39985907,-0.1058992
3.40241907,-0.09698782
3.40497907,-0.09698782
3.40753907,-0.09698782
3.41009907,-0.09698782
3.41265907,-0.09698782
3.41521907,-0.09698782
3.41777907,-0.09698782
3.42033907,-0.09698782
3.42289907,-0.09698782
3.42545907,-0.09698782
3.42801907,-0.09698782
3.43057907,-0.09698782
3.43313907,-0.09698782
3.43569907,-0.09698782
3.43825907,-0.09698782
3.44081907,-0.09698782
3.44337907,-0.09698782
3.44593907,-0.1058992
3.44849907,-0.1058992
3.45105907,-0.1058992
3.45361907,-0.09698782
3.45617907,-0.09698782
3.45873907,-0.09698782
3.46129907,-0.09698782
3.46385907,-0.09698782
3.46641907,-0.1058992
3.46897907,-0.09698782
3.47153907,-0.1058992
3.47409907,-0.09698782
3.47665907,-0.09698782
3.47921907,-0.1058992
3.48177907,-0.09698782
3.48433907,-0.1058992
3.48689907,-0.1058992
3.48945907,-0.1058992
3.49201907,-0.1058992
3.49457907,-0.1058992
3.49713907,-0.1058992
3.49969907,-0.1058992
3.50225907,-0.1058992
3.50481907,-0.1058992
3.50737907,-0.1058992
3.50993907,-0.1058992
3.51249907,-0.1058992
3.51505907,-0.1058992
3.51761907,-0.1058992
3.52017907,-0.1058992
3.52273907,-0.1058992
3.52529907,-0.1058992
3.52785907,-0.1058992
3.53041907,-0.1058992
3.53297907,-0.1058992
3.53553907,-0.1058992
3.53809907,-0.1058992
3.54065907,-0.1058992
3.54321907,-0.1058992
3.54577907,-0.1058992
3.54833907,-0.1058992
3.55089907,-0.1058992
3.55345907,-0.09698782
3.55601907,-0.09698782
3.55857907,-0.1058992
3.56113907,-0.1058992
3.56369907,-0.1058992
3.56625907,-0.1058992
3.56881907,-0.1058992
3.57137907,-0.1058992
3.57393907,-0.1058992
3.57649907,-0.1058992
3.57905907,-0.1058992
3.58161907,-0.1058992
3.58417907,-0.1058992
3.58673907,-0.1058992
3.58929907,-0.1058992
3.59185907,-0.1058992
3.59441907,-0.1058992
3.59697907,-0.1058992
3.59953907,-0.1058992
3.60209907,-0.1058992
3.60465907,-0.1058992
3.60721907,-0.1058992
3.60977907,-0.1058992
3.61233907,-0.1058992
3.61489907,-0.1058992
3.61745907,-0.1058992
3.62001907,-0.1148411
3.62257907,-0.1148411
3.62513907,-0.1148411
3.62769907,-0.1148411
3.63025907,-0.1148411
3.63281907,-0.1148411
3.63537907,-0.1148411
3.63793907,-0.1148411
3.64049907,-0.1148411
3.64305907,-0.1148411
3.64561907,-0.1148411
3.64817907,-0.1148411
3.65073907,-0.1148411
3.65329907,-0.1148411
3.65585907,-0.1148411
3.65841907,-0.1148411
3.66097907,-0.1148411
3.66353907,-0.1148411
3.66609907,-0.1058992
3.66865907,-0.1058992
3.67121907,-0.1058992
